all_items_deliv,state,all_items_late,perc_delayed
4840,RJ,334,6.90
77842,SP,5548,7.13
8717,MG,412,4.73
8595,PR,456,5.31
4178,SC,195,4.67
843,DF,50,5.93
2173,RS,70,3.22
508,GO,13,2.56
402,MA,78,19.40
249,NULL,22,8.84
364,ES,21,5.77
628,BA,29,4.62
11,PI,0,0.00
14,RO,0,0.00
144,MT,6,4.17
90,CE,6,6.67
54,RN,4,7.41
445,PE,15,3.37
10,SE,0,0.00
50,MS,3,6.00
37,PB,1,2.70
3,AM,1,33.33
