count(order_id),state
10855,RJ
38673,SP
10835,MG
4713,PR
1829,GO
2860,BA
633,MS
1103,CE
1960,DF
5019,RS
1440,PE
3266,SC
312,AL
592,MA
840,PA
829,MT
1781,ES
463,PB
141,AM
65,AP
410,PI
247,TO
240,RO
430,RN
284,SE
77,AC
36,RR
3,NULL
